ID,Prediction
1,[ 0.06967658  0.93032342]
2,[ 0.52259517  0.47740483]
3,[ 0.10262217  0.89737783]
4,[ 0.47735821  0.52264179]
5,[ 0.20689093  0.79310907]
6,[ 0.16012108  0.83987892]
7,[ 0.12243367  0.87756633]
8,[ 0.02440927  0.97559073]
9,[ 0.13639565  0.86360435]
10,[ 0.03960156  0.96039844]
11,[ 0.01588861  0.98411139]
12,[ 0.07202742  0.92797258]
13,[ 0.21256536  0.78743464]
14,[ 0.02930554  0.97069446]
15,[ 0.02115996  0.97884004]
16,[ 0.1187092  0.8812908]
17,[ 0.01509865  0.98490135]
18,[ 0.43167737  0.56832263]
19,[ 0.69174887  0.30825113]
20,[ 0.76118482  0.23881518]
21,[ 0.5485009  0.4514991]
22,[ 0.04121431  0.95878569]
23,[ 0.1536238  0.8463762]
24,[ 0.63010884  0.36989116]
25,[ 0.49498145  0.50501855]
26,[ 0.05508848  0.94491152]
27,[ 0.30069215  0.69930785]
28,[ 0.01677649  0.98322351]
29,[ 0.01469729  0.98530271]
30,[ 0.01340823  0.98659177]
31,[ 0.23986309  0.76013691]
32,[ 0.02842638  0.97157362]
33,[ 0.0159856  0.9840144]
34,[ 0.04546467  0.95453533]
35,[ 0.03671905  0.96328095]
36,[ 0.0926519  0.9073481]
37,[ 0.89196709  0.10803291]
38,[ 0.65601666  0.34398334]
39,[ 0.08035554  0.91964446]
40,[ 0.49737095  0.50262905]
41,[ 0.03349473  0.96650527]
42,[ 0.43189361  0.56810639]
43,[ 0.71513382  0.28486618]
44,[ 0.0111181  0.9888819]
45,[ 0.08388983  0.91611017]
46,[ 0.03284782  0.96715218]
47,[ 0.07317733  0.92682267]
48,[ 0.03712471  0.96287529]
49,[ 0.00921795  0.99078205]
50,[ 0.03757342  0.96242658]
51,[ 0.05355899  0.94644101]
52,[ 0.68355347  0.31644653]
53,[ 0.0150498  0.9849502]
54,[ 0.077086  0.922914]
55,[ 0.00918883  0.99081117]
56,[ 0.79721145  0.20278855]
57,[ 0.17472685  0.82527315]
58,[ 0.35155124  0.64844876]
59,[ 0.01810754  0.98189246]
60,[ 0.09700105  0.90299895]
61,[ 0.11799829  0.88200171]
62,[ 0.11560127  0.88439873]
63,[ 0.02198989  0.97801011]
64,[ 0.21207969  0.78792031]
65,[ 0.00646334  0.99353666]
66,[ 0.01523448  0.98476552]
67,[ 0.02912717  0.97087283]
68,[ 0.01790333  0.98209667]
69,[ 0.48095724  0.51904276]
70,[ 0.40630813  0.59369187]
71,[ 0.54427962  0.45572038]
72,[ 0.32026882  0.67973118]
73,[ 0.00888957  0.99111043]
74,[ 0.03125968  0.96874032]
75,[ 0.37719287  0.62280713]
76,[ 0.45675006  0.54324994]
77,[ 0.02415395  0.97584605]
78,[ 0.12825856  0.87174144]
79,[ 0.13394784  0.86605216]
80,[ 0.02004528  0.97995472]
81,[ 0.07656681  0.92343319]
82,[ 0.27189385  0.72810615]
83,[ 0.41138271  0.58861729]
84,[ 0.04433139  0.95566861]
85,[ 0.08306284  0.91693716]
86,[ 0.6419439  0.3580561]
87,[ 0.12921331  0.87078669]
88,[ 0.02474538  0.97525462]
89,[ 0.01941504  0.98058496]
90,[ 0.29390213  0.70609787]
91,[ 0.01702623  0.98297377]
92,[ 0.17010408  0.82989592]
93,[ 0.02494763  0.97505237]
94,[ 0.01578279  0.98421721]
95,[ 0.15845751  0.84154249]
96,[ 0.75769024  0.24230976]
97,[ 0.05216523  0.94783477]
98,[ 0.39047299  0.60952701]
99,[ 0.03269946  0.96730054]
100,[ 0.1107948  0.8892052]
101,[ 0.04723372  0.95276628]
102,[ 0.0589709  0.9410291]
103,[ 0.02558536  0.97441464]
104,[ 0.83949749  0.16050251]
105,[ 0.01375759  0.98624241]
106,[ 0.02089656  0.97910344]
107,[ 0.36335782  0.63664218]
108,[ 0.01843289  0.98156711]
109,[ 0.02337805  0.97662195]
110,[ 0.07908433  0.92091567]
111,[ 0.10582565  0.89417435]
112,[ 0.00857441  0.99142559]
113,[ 0.01143973  0.98856027]
114,[ 0.16020318  0.83979682]
115,[ 0.25838734  0.74161266]
116,[ 0.05171422  0.94828578]
117,[ 0.45919261  0.54080739]
118,[ 0.07877906  0.92122094]
119,[ 0.01043198  0.98956802]
120,[ 0.01920233  0.98079767]
121,[ 0.00719549  0.99280451]
122,[ 0.0167212  0.9832788]
123,[ 0.06322151  0.93677849]
124,[ 0.05639072  0.94360928]
125,[ 0.06887434  0.93112566]
126,[ 0.01730916  0.98269084]
127,[ 0.01754951  0.98245049]
128,[ 0.11442875  0.88557125]
129,[ 0.01446946  0.98553054]
130,[ 0.76872795  0.23127205]
131,[ 0.03609254  0.96390746]
132,[ 0.0076759  0.9923241]
133,[ 0.0157621  0.9842379]
134,[ 0.03404201  0.96595799]
135,[ 0.02211944  0.97788056]
136,[ 0.07649079  0.92350921]
137,[ 0.27528575  0.72471425]
138,[ 0.65504487  0.34495513]
