ID,Prediction
1,0.25
2,0.75
3,0.75
4,0.75
5,0.75
6,0.75
7,0.75
8,0.25
9,0.75
10,0.25
11,0.75
12,0.75
13,0.75
14,0.75
15,0.25
16,0.75
17,0.75
18,0.75
19,0.75
20,0.25
21,0.75
22,0.75
23,0.25
24,0.25
25,0.75
26,0.75
27,0.75
28,0.75
29,0.75
30,0.25
31,0.75
32,0.75
33,0.75
34,0.75
35,0.75
36,0.75
37,0.75
38,0.75
39,0.75
40,0.25
41,0.75
42,0.75
43,0.75
44,0.75
45,0.75
46,0.25
47,0.25
48,0.75
49,0.75
50,0.75
51,0.75
52,0.75
53,0.75
54,0.75
55,0.75
56,0.75
57,0.75
58,0.25
59,0.75
60,0.75
61,0.25
62,0.75
63,0.25
64,0.75
65,0.75
66,0.75
67,0.75
68,0.25
69,0.25
70,0.25
71,0.25
72,0.75
73,0.75
74,0.25
75,0.25
76,0.75
77,0.75
78,0.75
79,0.75
80,0.25
81,0.75
82,0.75
83,0.75
84,0.25
85,0.75
86,0.25
87,0.25
88,0.25
89,0.75
90,0.75
91,0.75
92,0.75
93,0.75
94,0.75
95,0.75
96,0.25
97,0.25
98,0.25
99,0.25
100,0.75
101,0.75
102,0.75
103,0.75
104,0.75
105,0.75
106,0.75
107,0.75
108,0.25
109,0.75
110,0.75
111,0.75
112,0.25
113,0.25
114,0.25
115,0.75
116,0.75
117,0.25
118,0.25
119,0.75
120,0.75
121,0.25
122,0.75
123,0.25
124,0.75
125,0.75
126,0.75
127,0.75
128,0.75
129,0.75
130,0.75
131,0.75
132,0.75
133,0.25
134,0.25
135,0.75
136,0.75
137,0.75
138,0.25
