ID,Prediction
1,63.0
2,71.0
3,67.0
4,86.0
5,72.0
6,65.0
7,73.0
8,43.0
9,59.0
10,34.0
11,21.0
12,55.0
13,73.0
14,31.0
15,27.0
16,61.0
17,22.0
18,75.0
19,78.0
20,89.0
21,80.0
22,19.0
23,66.0
24,81.0
25,69.0
26,35.0
27,72.0
28,21.0
29,21.0
30,26.0
31,67.0
32,43.0
33,19.0
34,36.0
35,18.0
36,70.0
37,87.0
38,80.0
39,69.0
40,81.0
41,57.0
42,71.0
43,69.0
44,36.0
45,77.0
46,54.0
47,37.0
48,29.0
49,18.0
50,66.0
51,41.0
52,88.0
53,16.0
54,43.0
55,38.0
56,85.0
57,82.0
58,83.0
59,21.0
60,57.0
61,64.0
62,80.0
63,37.0
64,64.0
65,17.0
66,42.0
67,23.0
68,24.0
69,82.0
70,69.0
71,84.0
72,85.0
73,12.0
74,18.0
75,72.0
76,75.0
77,51.0
78,77.0
79,57.0
80,28.0
81,63.0
82,80.0
83,83.0
84,42.0
85,27.0
86,83.0
87,25.0
88,50.0
89,34.0
90,79.0
91,16.0
92,76.0
93,43.0
94,19.0
95,82.0
96,86.0
97,65.0
98,73.0
99,54.0
100,41.0
101,53.0
102,45.0
103,48.0
104,86.0
105,36.0
106,39.0
107,79.0
108,28.0
109,24.0
110,67.0
111,25.0
112,31.0
113,12.0
114,65.0
115,93.0
116,28.0
117,69.0
118,64.0
119,44.0
120,32.0
121,33.0
122,9.0
123,27.0
124,40.0
125,59.0
126,39.0
127,29.0
128,57.0
129,21.0
130,81.0
131,20.0
132,35.0
133,20.0
134,25.0
135,20.0
136,16.0
137,75.0
138,86.0
