ID,Prediction
1,44.6900485046
2,67.537373143
3,49.7578267872
4,86.1742955069
5,56.0594389863
6,62.200347937
7,58.6329552187
8,38.3712061446
9,54.889548446
10,48.3766264612
11,40.0283397714
12,43.5793955202
13,59.7917941644
14,35.3378958249
15,24.7252014616
16,61.0381889386
17,31.3084431736
18,74.6816394654
19,73.6147868286
20,92.5398710733
21,78.8314973061
22,25.8886555361
23,70.2965344428
24,75.3234830073
25,66.6996781595
26,51.3447947278
27,62.8754853122
28,30.1317435227
29,30.2763833616
30,21.1231362065
31,60.8209603645
32,39.8792422488
33,23.9333664337
34,30.1183868249
35,25.3938755876
36,70.1656702138
37,85.6520746669
38,70.3860223776
39,62.2314157098
40,71.8670548051
41,53.673617294
42,54.9618831824
43,68.3274844558
44,26.1157718829
45,59.3599417743
46,42.6255376962
47,31.7283623043
48,34.0119656253
49,27.1016263917
50,57.8672960009
51,25.9833182346
52,79.1035009074
53,20.7138127948
54,22.3777937928
55,32.5240349234
56,93.4636688184
57,63.7408403776
58,67.7958563437
59,19.5040401343
60,60.5584564353
61,64.9091529999
62,57.953521207
63,35.8734976125
64,51.169695498
65,16.8060603788
66,27.5607757711
67,25.3315947527
68,16.631040559
69,65.6020016988
70,75.8822795857
71,71.6669632413
72,82.7950944298
73,15.8546600869
74,30.6927236034
75,85.9965195256
76,63.7778296283
77,38.755527986
78,57.173726647
79,53.5150847844
80,20.9115046389
81,64.2387670585
82,60.6251581977
83,72.557995963
84,40.3594771448
85,34.2204755671
86,86.5168148436
87,17.2220381257
88,41.6990479956
89,19.3519483793
90,66.6786195229
91,43.548831572
92,54.2691325786
93,33.0838086278
94,32.0029095146
95,75.9559071223
96,70.7573510361
97,41.4924889452
98,94.5783167636
99,42.469258011
100,53.4558842759
101,35.6321593238
102,26.701674221
103,43.4054038586
104,84.5092340812
105,19.8082954588
106,32.819897126
107,75.1962416191
108,32.0446969659
109,26.0449427859
110,61.2313033294
111,26.8970858578
112,29.4576813141
113,20.9806756879
114,45.2232335651
115,73.4050297166
116,30.7412033014
117,56.2302944798
118,55.3659658361
119,41.0714587395
120,33.5741380567
121,21.6415727015
122,14.6023816777
123,24.4325364901
124,40.7384935092
125,54.7488221547
126,41.0372464551
127,19.7446006386
128,40.1764671067
129,29.0653668874
130,73.0297875814
131,10.1165140916
132,30.6536363787
133,29.4117595758
134,24.8086056338
135,24.0181825975
136,31.0861351336
137,70.404307978
138,89.8852732089
