ID,Prediction
1,63.0735287313
2,75.9910949891
3,66.3153935084
4,84.3277852222
5,70.7427301999
6,67.9757287017
7,65.2513875381
8,39.5554484209
9,57.6762495013
10,42.7444168766
11,21.149443963
12,53.0367618405
13,65.8268934882
14,33.2138370423
15,25.8557018204
16,65.0909402362
17,24.638417226
18,70.1741412856
19,83.115983575
20,86.3940082036
21,76.5138643921
22,22.5644067596
23,68.3845328495
24,84.9869855669
25,73.0105564282
26,33.5196541385
27,68.0065527039
28,22.7122011226
29,21.5939900909
30,26.1957378159
31,62.8081847016
32,42.9397276259
33,20.142710278
34,36.3381686735
35,25.2083692902
36,68.8410471502
37,92.5113368845
38,79.8001980035
39,68.1511387459
40,85.385685172
41,58.9128769696
42,75.2120910822
43,69.9175550447
44,35.0985164584
45,73.0561303131
46,53.2434476455
47,37.5048802321
48,32.5169927065
49,19.8925284807
50,67.868437323
51,37.7772728753
52,89.486387017
53,20.0321141463
54,44.780059793
55,37.5216324385
56,88.4712375124
57,83.9727989178
58,78.6369294401
59,23.3192718315
60,58.0949182793
61,62.3781255868
62,75.5656879408
63,32.9457200211
64,62.9155789506
65,25.7789658281
66,38.6282462624
67,26.1312093706
68,23.6650702366
69,81.925364065
70,71.1337585068
71,82.9234481802
72,84.4055304796
73,17.2179928691
74,19.7754706882
75,68.9844556748
76,72.8465335541
77,46.8060785017
78,72.8570555305
79,57.1628394238
80,27.0823891385
81,62.0518251278
82,79.4296276951
83,82.6303829698
84,46.7085278219
85,24.6661672817
86,86.6422986401
87,23.3785476339
88,48.3175645694
89,34.9561838791
90,77.0136944517
91,18.2692532081
92,72.9333680918
93,40.4893130917
94,24.3870343565
95,79.0743501653
96,91.3941850249
97,60.5585545516
98,71.7995239789
99,50.5318716315
100,43.1015460275
101,54.5148755634
102,42.0173013559
103,47.4111709672
104,88.4412918407
105,28.1471796879
106,37.9857709628
107,85.0061666832
108,30.4347424661
109,25.6577518631
110,69.6844286034
111,25.9590252237
112,25.3785615879
113,14.2755037861
114,67.8521953274
115,96.5476824743
116,27.9197466221
117,71.0584505932
118,58.2451317604
119,45.8849702533
120,32.3434952872
121,30.4642594382
122,11.8098902009
123,23.9111035891
124,36.686641085
125,60.5488814781
126,41.7544681411
127,28.7131142682
128,56.2534139662
129,22.3524891159
130,75.5309270408
131,18.830373842
132,33.4157037736
133,26.6022713408
134,29.3917473922
135,23.8286255792
136,19.1030372277
137,78.4202295157
138,81.3236417191
