ID,Prediction
1,55.0172647595
2,56.900057867
3,55.2761230024
4,57.2587609992
5,56.8687309956
6,55.777425054
7,55.5324779457
8,54.7372651946
9,56.0503860332
10,55.4501123717
11,55.2010982983
12,55.4794223665
13,56.363490678
14,54.8994101609
15,54.8203797417
16,55.8409710581
17,55.2757084841
18,57.7544400749
19,56.8180565584
20,57.7396419644
21,56.1695642955
22,54.9960947251
23,56.1918385036
24,56.7973715758
25,57.1466912409
26,55.4748448591
27,56.0516261759
28,55.1683101341
29,54.9242739452
30,54.9224053458
31,56.1680813973
32,54.8447435326
33,54.944015033
34,55.4078696325
35,54.8969284695
36,55.4452809406
37,57.3515188132
38,56.7779632139
39,55.8428224068
40,56.2971044757
41,55.7500529433
42,56.4373007999
43,58.1981013165
44,55.5317092157
45,55.8596492033
46,55.8179155835
47,55.4471130089
48,55.2298939818
49,54.562787584
50,54.8427750131
51,55.2256797379
52,56.8539819227
53,55.1898485448
54,55.4229461363
55,55.0993649098
56,58.0243868752
57,56.0928729755
58,56.5781376156
59,54.7146037591
60,54.967009523
61,56.1246907367
62,56.723489119
63,54.995625639
64,55.6787350375
65,54.6298502273
66,54.9542114945
67,55.5017332463
68,54.8177219526
69,56.3856159291
70,56.4484475988
71,56.9313349192
72,56.6934205721
73,54.9951669064
74,55.4259629699
75,57.0998978219
76,56.5160288284
77,54.9578757824
78,56.4111274949
79,55.9901251437
80,55.1430315574
81,55.57545292
82,56.6055300701
83,57.238369216
84,55.7633249462
85,55.1552780801
86,57.5876038056
87,55.2443547595
88,55.3910559613
89,55.3729610884
90,56.2576878405
91,55.0975190232
92,56.5964764403
93,55.0576406132
94,54.8832475628
95,56.3470700633
96,58.4403835926
97,55.5549936624
98,57.2808510667
99,55.1830993314
100,55.8584557857
101,55.4721017771
102,55.8596665018
103,54.9419498919
104,59.1106072787
105,54.6294843895
106,54.914248175
107,56.4009511714
108,55.068334243
109,55.3531201967
110,55.3237918513
111,55.7810222234
112,54.663398558
113,55.2359004793
114,55.630143185
115,56.0620277793
116,55.183156362
117,56.9086686347
118,55.418222594
119,54.7841217349
120,55.2386904517
121,54.7908291804
122,54.8478301916
123,55.2444923124
124,55.1198509073
125,55.7676112808
126,54.7247085372
127,54.5303918608
128,56.6661151935
129,55.2728533425
130,57.9456180858
131,55.0683462987
132,54.7551258822
133,55.8471199761
134,55.4068502552
135,55.3721046658
136,55.2867085652
137,55.7964331796
138,57.7545257366
